GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
basic,com.example.basic.config,CustomRevisionListener,7,0,0,0,3,0,2,0,2,0
basic,com.example.basic.config,AsyncConfig,0,23,0,0,0,8,0,2,0,2
basic,com.example.basic.Entities,Base,6,10,0,0,1,3,1,3,1,3
basic,com.example.basic.Entities,Profile,61,20,14,0,1,4,10,5,3,5
basic,com.example.basic.Entities,Users,275,116,66,0,1,12,36,21,3,21
basic,com.example.basic.Services,ProfileServiceImpl,0,4,0,0,0,2,0,1,0,1
basic,com.example.basic.Services,BaseServiceImpl,95,6,4,0,16,3,10,1,8,1
basic,com.example.basic.Services,UsersServiceImpl,70,6,2,0,17,2,4,1,3,1
basic,com.example.basic,BasicApplication,5,3,0,0,2,1,1,1,1,1
basic,com.example.basic.Exeption,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
basic,com.example.basic.Exeption,ErrorDetails,21,0,0,0,8,0,4,0,4,0
basic,com.example.basic.Exeption,GlobalExceptionHandler,36,3,0,0,4,1,2,1,2,1
basic,com.example.basic.Dtos,UserDTO,178,0,32,0,5,0,29,0,13,0
basic,com.example.basic.Dtos,BaseMapperDTO,7,16,1,1,1,5,2,2,1,2
basic,com.example.basic.Controllers,BaseControllerImpl,14,30,0,0,2,5,2,5,2,5
basic,com.example.basic.Controllers,ProfilesControllerImpl,0,3,0,0,0,1,0,1,0,1
basic,com.example.basic.Controllers,UsersControllerImpl,15,7,0,0,2,2,2,2,2,2
